dataset,size,algorithm,milliseconds
random,500,merge_sort,0.03961
random,500,merge_insertion_t15,0.028711
random,600,merge_sort,0.057464
random,600,merge_insertion_t15,0.031001
random,700,merge_sort,0.048492
random,700,merge_insertion_t15,0.036726
random,800,merge_sort,0.056182
random,800,merge_insertion_t15,0.042127
random,900,merge_sort,0.077985
random,900,merge_insertion_t15,0.055099
random,1000,merge_sort,0.070155
random,1000,merge_insertion_t15,0.071192
random,1100,merge_sort,0.079184
random,1100,merge_insertion_t15,0.06978
random,1200,merge_sort,0.083875
random,1200,merge_insertion_t15,0.068638
random,1300,merge_sort,0.110599
random,1300,merge_insertion_t15,0.075226
random,1400,merge_sort,0.100173
random,1400,merge_insertion_t15,0.079845
random,1500,merge_sort,0.108824
random,1500,merge_insertion_t15,0.092835
random,1600,merge_sort,0.141667
random,1600,merge_insertion_t15,0.093686
random,1700,merge_sort,0.131318
random,1700,merge_insertion_t15,0.099095
random,1800,merge_sort,0.131645
random,1800,merge_insertion_t15,0.105854
random,1900,merge_sort,0.141328
random,1900,merge_insertion_t15,0.112621
random,2000,merge_sort,0.17447
random,2000,merge_insertion_t15,0.126402
random,2100,merge_sort,0.158295
random,2100,merge_insertion_t15,0.136293
random,2200,merge_sort,0.167263
random,2200,merge_insertion_t15,0.142555
random,2300,merge_sort,0.228493
random,2300,merge_insertion_t15,0.157874
random,2400,merge_sort,0.183839
random,2400,merge_insertion_t15,0.154345
random,2500,merge_sort,0.190193
random,2500,merge_insertion_t15,0.169567
random,2600,merge_sort,0.225251
random,2600,merge_insertion_t15,0.179714
random,2700,merge_sort,0.228523
random,2700,merge_insertion_t15,0.172433
random,2800,merge_sort,0.222633
random,2800,merge_insertion_t15,0.178994
random,2900,merge_sort,0.243964
random,2900,merge_insertion_t15,0.187358
random,3000,merge_sort,0.24889
random,3000,merge_insertion_t15,0.193115
random,3100,merge_sort,0.239282
random,3100,merge_insertion_t15,0.207989
random,3200,merge_sort,0.250934
random,3200,merge_insertion_t15,0.206573
random,3300,merge_sort,0.309586
random,3300,merge_insertion_t15,0.221777
random,3400,merge_sort,0.266613
random,3400,merge_insertion_t15,0.218302
random,3500,merge_sort,0.285695
random,3500,merge_insertion_t15,0.226903
random,3600,merge_sort,0.293319
random,3600,merge_insertion_t15,0.231654
random,3700,merge_sort,0.308192
random,3700,merge_insertion_t15,0.251442
random,3800,merge_sort,0.314461
random,3800,merge_insertion_t15,0.246543
random,3900,merge_sort,0.314547
random,3900,merge_insertion_t15,0.26618
random,4000,merge_sort,0.373222
